id,original_language,original_title,genre_ids,release_date,video,adult,popularity,vote_average,vote_count,providers,iso_country,country_name,budget,revenue,runtime
71569,en,Close Encounters: Proof of Alien Contact,"[99, 878]",16/05/2000,FALSE,FALSE,0.6,0,0,['Amazon Prime Video'],Null,Null,Null,Null,Null
955,en,Mission: Impossible II,"[12, 28, 53]",24/05/2000,FALSE,FALSE,35.355,6.1,5597,['Stan'],US,United States of America,125000000,546388105,123
81277,en,Dangerous Attraction,[53],30/05/2000,FALSE,FALSE,5.936,5.1,6,['Amazon Prime Video'],CA,Canada,0,0,94
9600,en,Big Momma's House,"[80, 35]",31/05/2000,FALSE,FALSE,30.103,5.8,1994,['Amazon Prime Video'],DE,Germany,30000000,173959438,98
55101,en,The Guilty,"[80, 18, 53]",1/06/2000,FALSE,FALSE,7.318,5.6,62,['Amazon Prime Video'],CA,Canada,700000,0,108
41644,en,Forgive and Forget,[18],12/06/2000,FALSE,FALSE,3.005,5.8,13,['Amazon Prime Video'],Null,Null,Null,Null,Null
479,en,Shaft,"[28, 12, 80, 53]",15/06/2000,FALSE,FALSE,22.3,6,1078,['Stan'],DE,Germany,46000000,107626125,99
9519,en,Chopper,"[80, 18, 53]",21/06/2000,FALSE,FALSE,13.021,6.7,283,['Stan'],AU,Australia,0,236185,94
103688,en,Daydream Believers: The Monkees Story,"[18, 10402, 10770]",28/06/2000,FALSE,FALSE,1.507,5.7,9,['Amazon Prime Video'],US,United States of America,0,0,92
2133,en,The Perfect Storm,"[28, 12, 18, 53]",29/06/2000,FALSE,FALSE,26.194,6.4,1897,['Stan'],US,United States of America,120000000,325756637,130
55311,en,Before the Flying Circus,"[99, 35]",1/07/2000,FALSE,FALSE,2.302,8.5,4,['Netflix'],GB,United Kingdom,0,0,55
4247,en,Scary Movie,[35],7/07/2000,FALSE,FALSE,85.151,6.3,5924,['Stan'],US,United States of America,19000000,278019771,88
16110,en,Thomas and the Magic Railroad,"[16, 18, 10751]",14/07/2000,FALSE,FALSE,16.614,5.5,58,['Amazon Prime Video'],GB,United Kingdom,19000000,19748009,84
40249,en,They Nest,"[878, 27, 10770]",25/07/2000,FALSE,FALSE,5.285,5.7,42,['Amazon Prime Video'],US,United States of America,4000000,0,92
5551,en,Space Cowboys,"[28, 12, 53]",4/08/2000,FALSE,FALSE,17.041,6.4,1166,['Stan'],US,United States of America,65000000,128884132,130
32834,en,MVP: Most Valuable Primate,"[35, 10751]",11/08/2000,FALSE,FALSE,6.947,4.8,67,['Amazon Prime Video'],CA,Canada,4,1,85
46119,en,Crime + Punishment in Suburbia,[18],25/08/2000,FALSE,FALSE,7.409,6.2,39,['Amazon Prime Video'],US,United States of America,0,26394,100
494256,en,Pink Floyd: Behind the Wall,[99],30/08/2000,FALSE,FALSE,0.621,7,1,['Amazon Prime Video'],Null,Null,Null,Null,Null
134,en,"O Brother, Where Art Thou?","[12, 35, 80]",30/08/2000,FALSE,FALSE,26.457,7.3,3529,['Netflix'],FR,France,26000000,71870729,107
50225,en,A Rumor of Angels,[18],8/09/2000,FALSE,FALSE,3.113,6.6,22,['Amazon Prime Video'],US,United States of America,0,0,106
38132,en,My 5 Wives,[35],8/09/2000,FALSE,FALSE,2.969,4.8,17,['Amazon Prime Video'],CA,Canada,0,0,100
1619,en,The Way of the Gun,"[28, 80, 18, 53]",8/09/2000,FALSE,FALSE,14.197,6.4,347,['Stan'],US,United States of America,8500000,19125401,119
89473,en,Tweety's High Flying Adventure,"[16, 10751]",12/09/2000,FALSE,FALSE,7.864,6.7,57,['Stan'],US,United States of America,0,0,72
16340,en,Rugrats in Paris: The Movie,"[10751, 16, 12, 35]",14/09/2000,FALSE,FALSE,19.384,6.6,403,['Stan'],DE,Germany,30000000,103291131,78
786,en,Almost Famous,"[18, 10402]",15/09/2000,FALSE,FALSE,22.455,7.5,2282,['Stan'],US,United States of America,60000000,47386287,122
10562,en,Under Suspicion,"[53, 80, 18]",24/09/2000,FALSE,FALSE,14.669,6.1,382,['Netflix'],US,United States of America,25000000,1308242,110
279700,en,Newsbreak,"[28, 18]",26/09/2000,FALSE,FALSE,1.127,0,0,['Amazon Prime Video'],Null,Null,Null,Null,Null
33379,en,Greenfingers,"[35, 18, 28, 80]",1/10/2000,FALSE,FALSE,7.671,6.4,50,['Amazon Prime Video'],GB,United Kingdom,0,1443067,91
10461,en,Get Carter,"[28, 18, 53, 80]",6/10/2000,FALSE,FALSE,23.651,5.1,460,['Netflix'],US,United States of America,63600000,19412993,102
1597,en,Meet the Parents,"[35, 10749]",6/10/2000,FALSE,FALSE,28.273,6.7,5232,"['Netflix', 'Amazon Prime Video', 'Stan']",US,United States of America,55000000,330444045,108
641,en,Requiem for a Dream,"[80, 18]",6/10/2000,FALSE,FALSE,12.912,8,8569,"['Netflix', 'Stan']",US,United States of America,4500000,7390108,102
143524,en,Personally Yours,"[10749, 10770]",8/10/2000,FALSE,FALSE,3.334,5.3,3,['Amazon Prime Video'],US,United States of America,0,0,89
77,en,Memento,"[9648, 53]",11/10/2000,FALSE,FALSE,47.525,8.2,12920,['Amazon Prime Video'],US,United States of America,9000000,39723096,113
6521,en,The Contender,"[18, 53]",13/10/2000,FALSE,FALSE,13.588,6.7,196,['Amazon Prime Video'],DE,Germany,20000000,22428990,126
5257,en,The Dish,"[35, 18, 36]",19/10/2000,FALSE,FALSE,12.343,6.7,155,['Netflix'],AU,Australia,0,0,101
1636,en,Bedazzled,"[14, 35, 10749]",19/10/2000,FALSE,FALSE,39.574,6,1565,['Amazon Prime Video'],DE,Germany,48000000,90383208,93
37302,en,Left Behind: The Movie,"[18, 14, 878, 53]",30/10/2000,FALSE,FALSE,10.582,4.3,105,['Amazon Prime Video'],CA,Canada,0,0,100
76176,en,Da Hip Hop Witch,"[27, 35, 12, 28]",31/10/2000,FALSE,FALSE,5.009,2.2,12,['Amazon Prime Video'],Null,Null,Null,Null,Null
26245,en,Dark Prince: The True Story of Dracula,"[10770, 27]",31/10/2000,FALSE,FALSE,7.225,6.4,35,['Amazon Prime Video'],US,United States of America,0,0,92
4327,en,Charlie's Angels,"[28, 12, 35, 80, 53]",2/11/2000,FALSE,FALSE,29.137,5.8,3667,['Stan'],US,United States of America,92000000,264105545,98
318529,en,The Life and Times of Steve Marriott,"[10402, 99]",7/11/2000,FALSE,FALSE,0.6,7.5,1,['Amazon Prime Video'],Null,Null,Null,Null,Null
9678,en,Little Nicky,"[35, 14]",10/11/2000,FALSE,FALSE,25.714,5.9,1551,['Netflix'],US,United States of America,85000000,58292295,90
8871,en,How the Grinch Stole Christmas,"[10751, 35, 14]",15/11/2000,FALSE,FALSE,101.626,6.7,6375,"['Amazon Prime Video', 'Stan']",DE,Germany,123000000,345823040,104
76650,en,Alice Cooper: Brutally Live,"[10402, 99]",5/12/2000,FALSE,FALSE,1.016,6.8,5,['Amazon Prime Video'],Null,Null,Null,Null,Null
8358,en,Cast Away,"[12, 18]",22/12/2000,FALSE,FALSE,45.391,7.7,9925,"['Amazon Prime Video', 'Stan']",US,United States of America,90000000,429632142,143
1493,en,Miss Congeniality,"[35, 80, 28]",22/12/2000,FALSE,FALSE,38.973,6.5,3352,['Stan'],US,United States of America,45000000,212000000,111
173093,en,Living in Fear,"[18, 53, 9648]",31/12/2000,FALSE,FALSE,1.335,4.7,3,['Amazon Prime Video'],US,United States of America,0,0,110
548337,en,Boxing: In and Out of the Ring,[],1/01/2001,FALSE,FALSE,0.6,0,0,['Amazon Prime Video'],Null,Null,Null,Null,Null
430955,en,The Pearl,[],1/01/2001,FALSE,FALSE,1.989,4.4,7,['Amazon Prime Video'],Null,Null,Null,Null,Null
24811,en,Delivering Milo,"[14, 35]",4/01/2001,FALSE,FALSE,6.19,5.4,35,['Amazon Prime Video'],US,United States of America,0,0,94
383070,en,Mind Games,"[80, 18, 9648, 53, 10770]",6/01/2001,FALSE,FALSE,1.815,7,1,['Amazon Prime Video'],GB,United Kingdom,0,0,120
9816,en,Save the Last Dance,"[18, 10751, 10749, 10402]",12/01/2001,FALSE,FALSE,18.408,6.6,1137,['Stan'],US,United States of America,13000000,131706809,113
638550,en,In Other Words,[99],15/01/2001,FALSE,FALSE,0.6,0,0,['Amazon Prime Video'],CA,Canada,0,0,27
638549,en,Sticks and Stones,"[99, 10751]",15/01/2001,FALSE,FALSE,0.6,0,0,['Amazon Prime Video'],CA,Canada,0,0,17
13356,en,Christmas in the Clouds,"[10751, 10749, 35]",21/01/2001,FALSE,FALSE,3.712,6.4,13,['Amazon Prime Video'],US,United States of America,3000000,0,96
1903,en,Vanilla Sky,"[9648, 878, 18, 10749, 14, 53]",22/01/2001,FALSE,FALSE,20.59,6.8,3530,['Stan'],ES,Spain,68000000,203388341,136
48834,en,Liam,[18],23/01/2001,FALSE,FALSE,3.064,6.2,31,['Amazon Prime Video'],FR,France,0,0,90
211420,en,The Waiting Game,"[10770, 18, 10749]",25/01/2001,FALSE,FALSE,1.415,4,2,['Amazon Prime Video'],CA,Canada,0,0,95
201889,en,Jewel,"[18, 10770]",7/02/2001,FALSE,FALSE,2.724,5,3,['Amazon Prime Video'],US,United States of America,0,0,120
12138,en,3000 Miles to Graceland,"[28, 12, 35, 80, 53]",23/02/2001,FALSE,FALSE,15.283,5.8,534,['Netflix'],US,United States of America,62000000,18720175,125
