,tmdb_id,imdb_id,budget,revenue,original_language,release_date,tmdb_vote_average,tmdb_vote_count,genre,startYear,imdb_vote_average,imdb_vote_count
1535,13389,tt1034331,60000000,79498846,en,2008-09-11,5.9220000000000015,1054,Crime,2008,6.0,89117
1536,13389,tt1034331,60000000,79498846,en,2008-09-11,5.9220000000000015,1054,Mystery,2008,6.0,89117
1537,13389,tt1034331,60000000,79498846,en,2008-09-11,5.9220000000000015,1054,Thriller,2008,6.0,89117
1539,325800,tt1267282,0,0,en,2008-09-14,5.9,4,Action,2008,7.0,51
1540,325800,tt1267282,0,0,en,2008-09-14,5.9,4,Drama,2008,7.0,51
1541,325800,tt1267282,0,0,en,2008-09-14,5.9,4,Thriller,2008,7.0,51
1544,14248,tt0465502,25000000,30700000,en,2008-09-19,6.0,499,Drama,2008,5.9,23667
1546,13596,tt1046163,20000000,41624687,en,2008-09-19,5.6560000000000015,643,Action,2008,5.8,44894
1547,13596,tt1046163,20000000,41624687,en,2008-09-19,5.6560000000000015,643,Adventure,2008,5.8,44894
1548,13596,tt1046163,20000000,41624687,en,2008-09-19,5.6560000000000015,643,Thriller,2008,5.8,44894
1549,13596,tt1046163,20000000,41624687,en,2008-09-19,5.6560000000000015,643,Crime,2008,5.8,44894
1552,13279,tt0947802,20000000,27640028,en,2008-09-19,5.9289999999999985,876,Family,2008,6.2,53367
1555,13600,tt0970411,55000000,17869048,en,2008-10-07,6.287000000000001,1519,Drama,2008,6.4,66970
1558,14325,tt0469903,40000000,9793496,en,2008-10-10,7.193,228,Adventure,2008,7.2,22252
1559,14325,tt0469903,40000000,9793496,en,2008-10-10,7.193,228,Family,2008,7.2,22252
1561,12162,tt0887912,15000000,49230772,en,2008-10-10,7.258999999999999,4905,Drama,2008,7.5,454453
1564,8884,tt0893402,12000000,0,en,2008-10-16,6.033,289,Drama,2008,6.0,17750
1567,10523,tt1175491,25100000,29506464,en,2008-10-17,6.1960000000000015,499,Family,2008,6.3,48896
1569,10764,tt0830515,200000000,589580482,en,2008-10-29,6.306,6924,Action,2008,6.6,451725
1570,10764,tt0830515,200000000,589580482,en,2008-10-29,6.306,6924,Adventure,2008,6.6,451725
1571,10764,tt0830515,200000000,589580482,en,2008-10-29,6.306,6924,Mystery,2008,6.6,451725
1572,10527,tt0479952,150000000,603900354,en,2008-10-30,6.464,6017,Adventure,2008,6.6,230605
1575,14655,tt1111948,0,0,en,2008-11-07,6.1789999999999985,131,Action,2008,6.4,11209
1576,14655,tt1111948,0,0,en,2008-11-07,6.1789999999999985,131,Adventure,2008,6.4,11209
1577,14655,tt1111948,0,0,en,2008-11-07,6.1789999999999985,131,Drama,2008,6.4,11209
1578,14655,tt1111948,0,0,en,2008-11-07,6.1789999999999985,131,Thriller,2008,6.4,11209
1581,12405,tt1010048,15000000,378410542,en,2008-11-12,7.733,9434,Thriller,2008,8.0,848023
1582,12405,tt1010048,15000000,378410542,en,2008-11-12,7.733,9434,Drama,2008,8.0,848023
1583,12405,tt1010048,15000000,378410542,en,2008-11-12,7.733,9434,Crime,2008,8.0,848023
1585,13387,tt1129442,30000000,108979549,en,2008-11-26,6.141,2923,Drama,2008,6.0,169100
1587,13056,tt0450314,20500000,10089373,en,2008-12-05,5.772,949,Family,2008,5.9,64161
1588,26461,tt1324027,0,0,en,2008-12-07,7.388,49,Family,2008,7.8,3713
1590,26461,tt1324027,0,0,en,2008-12-07,7.388,49,Drama,2008,7.8,3713
1592,13223,tt1205489,33000000,269958228,en,2008-12-09,8.0,9482,Crime,2008,8.1,778292
1593,13223,tt1205489,33000000,269958228,en,2008-12-09,8.0,9482,Drama,2008,8.1,778292
1595,10201,tt1068680,70000000,223241637,en,2008-12-09,6.643,5999,Crime,2008,6.8,365764
1596,10201,tt1068680,70000000,223241637,en,2008-12-09,6.643,5999,Drama,2008,6.8,365764
1597,10201,tt1068680,70000000,223241637,en,2008-12-09,6.643,5999,Thriller,2008,6.8,365764
1599,4148,tt0959337,35000000,75981180,en,2008-12-19,6.962999999999999,3338,Drama,2008,7.3,215402
1601,16409,tt1046947,0,32562782,en,2008-12-25,6.224,225,Drama,2008,6.6,21789
1605,14306,tt0822832,60000000,255743093,en,2008-12-25,7.206,4124,Drama,2008,7.0,159972
1607,4922,tt0421715,150000000,335802786,en,2008-12-25,7.574,11266,Drama,2008,7.8,654497
1610,16258,tt1234541,0,0,en,2009-01-09,5.4,474,Family,2009,5.6,19975
1611,10521,tt0901476,30000000,115375850,en,2009-01-09,6.24,2711,Drama,2009,5.4,109238
1612,43740,tt0818170,1700000,450000,en,2009-01-10,5.7,14,Action,2007,6.9,1009
1613,43740,tt0818170,1700000,450000,en,2009-01-10,5.7,14,Mystery,2007,6.9,1009
1615,15189,tt0785006,35000000,117000198,en,2009-01-16,6.063,767,Crime,2009,5.4,23862
1616,15189,tt0785006,35000000,117000198,en,2009-01-16,6.063,767,Thriller,2009,5.4,23862
1618,15189,tt0785006,35000000,117000198,en,2009-01-16,6.063,767,Drama,2009,5.4,23862
1620,14435,tt1179891,15000000,102836002,en,2009-01-16,5.505,966,Thriller,2009,5.4,57634
1623,16759,tt1238291,0,0,en,2009-01-19,6.185,162,Family,2009,6.6,12888
1624,16759,tt1238291,0,0,en,2009-01-19,6.185,162,Adventure,2009,6.6,12888
1629,123992,tt1519457,0,0,en,2009-01-29,2.667,3,Action,2009,5.4,96
1633,74300,tt1320282,980000,0,en,2009-02-01,5.15,10,Drama,2008,6.3,265
1635,15159,tt0838232,0,75871032,en,2009-02-06,5.735,968,Action,2009,5.6,45931
1636,15159,tt0838232,0,75871032,en,2009-02-06,5.735,968,Thriller,2009,5.6,45931
1637,15159,tt0838232,0,75871032,en,2009-02-06,5.735,968,Crime,2009,5.6,45931
1639,24238,tt0978762,8240000,1740429,en,2009-02-09,7.9,1633,Action,2009,8.1,178485
1640,24238,tt0978762,8240000,1740429,en,2009-02-09,7.9,1633,Adventure,2009,8.1,178485
1641,24238,tt0978762,8240000,1740429,en,2009-02-09,7.9,1633,Thriller,2009,8.1,178485
1642,13207,tt0758746,19000000,91509154,en,2009-02-11,5.7,2182,Mystery,2009,5.5,109736
1645,13207,tt0758746,19000000,91509154,en,2009-02-11,5.7,2182,Crime,2009,5.5,109736
1646,7980,tt0380510,65000000,93621340,en,2009-02-19,7.047999999999999,4032,Drama,2009,6.6,171449
1650,18320,tt0962736,35000000,29196409,en,2009-03-04,7.22,902,Drama,2009,7.2,63024
1653,13183,tt0409459,130000000,185258983,en,2009-03-04,7.3210000000000015,8026,Action,2009,7.6,554863
1654,13183,tt0409459,130000000,185258983,en,2009-03-04,7.3210000000000015,8026,Adventure,2009,7.6,554863
1655,323390,tt1302576,0,0,en,2009-03-11,6.1,5,Drama,2009,5.0,416
1657,18405,tt0844708,15000000,32721635,en,2009-03-13,6.436,1471,Drama,2009,6.5,94632
1659,16871,tt1127180,30000000,90810892,en,2009-03-15,6.376,3144,Crime,2009,6.6,206296
1660,16558,tt1135487,60000000,78176181,en,2009-03-18,5.855,659,Thriller,2009,6.1,51003
1661,16558,tt1135487,60000000,78176181,en,2009-03-18,5.855,659,Mystery,2009,6.1,51003
1662,15512,tt0892782,175000000,381509870,en,2009-03-19,6.19,4017,Action,2009,6.4,164737
1664,15512,tt0892782,175000000,381509870,en,2009-03-19,6.19,4017,Thriller,2009,6.4,164737
1665,16538,tt1155056,41000000,91980359,en,2009-03-20,6.5360000000000005,1425,Drama,2009,7.0,208622
1667,27391,tt1272025,0,0,en,2009-03-28,4.1,50,Drama,2009,3.7,1772
1668,27391,tt1272025,0,0,en,2009-03-28,4.1,50,Thriller,2009,3.7,1772
1669,72642,tt1327763,0,0,en,2009-03-29,5.8,6,Crime,2009,5.3,458
1670,72642,tt1327763,0,0,en,2009-03-29,5.8,6,Drama,2009,5.3,458
1672,72642,tt1327763,0,0,en,2009-03-29,5.8,6,Thriller,2009,5.3,458
1674,16614,tt1091722,0,17164820,en,2009-04-03,6.377999999999999,1884,Action,2009,6.8,162334
1675,16614,tt1091722,0,17164820,en,2009-04-03,6.377999999999999,1884,Adventure,2009,6.8,162334
1677,16614,tt1091722,0,17164820,en,2009-04-03,6.377999999999999,1884,Drama,2009,6.8,162334
1678,16614,tt1091722,0,17164820,en,2009-04-03,6.377999999999999,1884,Family,2009,6.8,162334
1682,13975,tt0910905,0,0,en,2009-04-15,6.089,360,Drama,2009,6.1,18903
1684,16931,tt0865907,0,0,en,2009-04-21,5.285,121,Drama,2009,4.7,5249
1685,17336,tt1082601,0,32474120,en,2009-04-24,5.876,584,Action,2009,5.5,33463
1686,17336,tt1082601,0,32474120,en,2009-04-24,5.876,584,Crime,2009,5.5,33463
1687,17336,tt1082601,0,32474120,en,2009-04-24,5.876,584,Drama,2009,5.5,33463
1688,56811,tt1277936,0,35456,en,2009-04-25,6.0379999999999985,133,Thriller,2009,6.3,8654
1690,12556,tt0821640,37500000,102223269,en,2009-05-01,5.95,2040,Drama,2009,5.8,91029
1700,17740,tt1032819,0,17835,en,2009-05-08,6.093,182,Adventure,2009,6.2,14914
1701,17740,tt1032819,0,17835,en,2009-05-08,6.093,182,Action,2009,6.2,14914
1702,17740,tt1032819,0,17835,en,2009-05-08,6.093,182,Thriller,2009,6.2,14914
1705,24271,tt1107860,20000000,96008,en,2009-05-09,5.688,269,Drama,2009,6.0,16881
1707,13448,tt0808151,150000000,485930816,en,2009-05-13,6.694,6072,Drama,2009,6.7,295831
1710,17609,tt0870984,11000000,791867,en,2009-05-20,6.6770000000000005,2191,Drama,2009,6.5,128480
1711,17609,tt0870984,11000000,791867,en,2009-05-20,6.6770000000000005,2191,Action,2009,6.5,128480
1712,17609,tt0870984,11000000,791867,en,2009-05-20,6.6770000000000005,2191,Thriller,2009,6.5,128480
1714,534,tt0438488,200000000,371353001,en,2009-05-20,6.03,5678,Action,2009,6.5,364745
1715,534,tt0438488,200000000,371353001,en,2009-05-20,6.03,5678,Adventure,2009,6.5,364745
1718,534,tt0438488,200000000,371353001,en,2009-05-20,6.03,5678,Thriller,2009,6.5,364745
1727,19724,tt0780567,55000000,23000000,en,2009-06-19,6.0,501,Drama,2009,5.6,15129
1730,19139,tt0499487,10000000,0,en,2009-06-22,4.01,157,Drama,2009,3.2,12614
1731,19139,tt0499487,10000000,0,en,2009-06-22,4.01,157,Crime,2009,3.2,12614
1732,10024,tt1078588,30000000,95714875,en,2009-06-26,7.351,1851,Drama,2009,7.3,94315
1733,10024,tt1078588,30000000,95714875,en,2009-06-26,7.351,1851,Mystery,2009,7.3,94315
1734,27480,tt1235142,0,0,en,2009-07-02,6.615,39,Family,2009,6.6,2534
1736,33788,tt0368563,0,0,en,2009-07-16,5.466,117,Thriller,2009,5.5,7852
1738,36041,tt1332100,0,0,en,2009-07-20,6.8,33,Drama,2009,6.4,1770
1742,20943,tt1142988,38000000,321682600,en,2009-07-24,6.49,3136,Drama,2009,6.4,221298
1744,14869,tt1046173,175000000,302469017,en,2009-08-03,5.757999999999999,4093,Drama,2009,5.7,209878
1746,38415,tt1148165,7000000,6812530,en,2009-08-09,5.7,22,Action,2009,6.2,1935
1749,24420,tt0452694,39000000,101344412,en,2009-08-14,6.937,2155,Adventure,2009,7.1,152565
1751,24420,tt0452694,39000000,101344412,en,2009-08-14,6.937,2155,Mystery,2009,7.1,152565
1752,16869,tt0361748,70000000,321457747,en,2009-08-19,8.211,19642,Drama,2009,8.3,1452138
1754,16869,tt0361748,70000000,321457747,en,2009-08-19,8.211,19642,Mystery,2009,8.3,1452138
1757,12244,tt0472033,30000000,48428063,en,2009-08-19,6.877999999999999,3081,Thriller,2009,7.0,141601
1759,19912,tt1144884,40000000,186167139,en,2009-08-26,5.599,2738,Action,2009,5.1,108045
1760,19912,tt1144884,40000000,186167139,en,2009-08-26,5.599,2738,Adventure,2009,5.1,108045
1763,22947,tt1193138,25000000,166842739,en,2009-09-05,6.824,3139,Action,2009,7.4,338452
1764,22947,tt1193138,25000000,166842739,en,2009-09-05,6.824,3139,Drama,2009,7.4,338452
1765,22947,tt1193138,25000000,166842739,en,2009-09-05,6.824,3139,Thriller,2009,7.4,338452
1766,22074,tt1232207,20000000,17436509,en,2009-09-06,7.135,457,Action,2009,7.4,42983
1767,22074,tt1232207,20000000,17436509,en,2009-09-06,7.135,457,Crime,2009,7.4,42983
1768,22074,tt1232207,20000000,17436509,en,2009-09-06,7.135,457,Drama,2009,7.4,42983
1769,22074,tt1232207,20000000,17436509,en,2009-09-06,7.135,457,Thriller,2009,7.4,42983
1770,36714,tt1282024,0,0,en,2009-09-10,6.5,12,Action,2009,6.7,763
1772,36714,tt1282024,0,0,en,2009-09-10,6.5,12,Thriller,2009,6.7,763
1774,22327,tt0403702,18000000,0,en,2009-09-11,6.178,776,Thriller,2009,6.5,74835
1775,22327,tt0403702,18000000,0,en,2009-09-11,6.178,776,Drama,2009,6.5,74835
1776,22327,tt0403702,18000000,0,en,2009-09-11,6.178,776,Action,2009,6.5,74835
1777,11699,tt1095217,25000000,10589102,en,2009-09-11,6.1,931,Drama,2009,6.6,78154
1778,46420,tt1316536,0,0,en,2009-09-13,6.675,626,Adventure,2009,6.6,41635
1780,46420,tt1316536,0,0,en,2009-09-13,6.675,626,Family,2009,6.6,41635
1783,25310,tt1773768,0,0,en,2009-09-15,6.4,5,Family,2009,5.9,111
1786,25310,tt1773768,0,0,en,2009-09-15,6.4,5,Adventure,2009,5.9,111
1787,22825,tt0362478,30000000,33333531,en,2009-09-17,5.58,1544,Adventure,2009,5.6,92799
1788,22825,tt0362478,30000000,33333531,en,2009-09-17,5.58,1544,Drama,2009,5.6,92799
1790,22794,tt0844471,100000000,242988466,en,2009-09-17,6.5939999999999985,5159,Drama,2009,6.9,236399
1795,28665,tt1016075,18000000,77211836,en,2009-09-23,5.7,326,Crime,2009,5.0,16588
1796,28665,tt1016075,18000000,77211836,en,2009-09-23,5.7,326,Mystery,2009,5.0,16588
1797,28665,tt1016075,18000000,77211836,en,2009-09-23,5.7,326,Thriller,2009,5.0,16588
1800,33870,tt1071812,25000000,23914731,en,2009-10-01,6.7,96,Adventure,2009,7.3,8017
1803,8054,tt1054606,30000000,64352607,en,2009-10-01,6.372999999999998,2435,Family,2009,6.8,150510
1809,37707,tt1017460,26000000,0,en,2009-10-06,5.796,1897,Action,2009,5.8,98458
1810,37707,tt1017460,26000000,0,en,2009-10-06,5.796,1897,Adventure,2009,5.8,98458
1811,37707,tt1017460,26000000,0,en,2009-10-06,5.796,1897,Crime,2009,5.8,98458
1812,37707,tt1017460,26000000,0,en,2009-10-06,5.796,1897,Mystery,2009,5.8,98458
1814,43213,tt1085382,3200000,0,en,2009-10-10,5.3,20,Family,2009,5.9,1190
1815,14161,tt1190080,200000000,791217826,en,2009-10-10,5.806,10863,Thriller,2009,5.8,380578
1816,14161,tt1190080,200000000,791217826,en,2009-10-10,5.806,10863,Drama,2009,5.8,380578
1818,14161,tt1190080,200000000,791217826,en,2009-10-10,5.806,10863,Mystery,2009,5.8,380578
1821,34480,tt1073105,6000200,7048886,en,2009-10-14,5.922999999999999,910,Family,2009,5.7,48424
1822,22803,tt1197624,53000000,127944208,en,2009-10-15,7.341,4293,Action,2009,7.4,300375
1823,22803,tt1197624,53000000,127944208,en,2009-10-15,7.341,4293,Crime,2009,7.4,300375
1824,22803,tt1197624,53000000,127944208,en,2009-10-15,7.341,4293,Drama,2009,7.4,300375
1827,16523,tt0386117,100000000,100140916,en,2009-10-16,6.465,1593,Action,2009,6.7,105896
1831,20371,tt0826593,0,0,en,2009-10-20,4.3,15,Family,2009,3.3,870
1832,25602,tt1182921,10000000,194243,en,2009-10-22,5.972,272,Drama,2009,5.5,13436
1833,51249,tt1300155,0,47305,en,2009-10-25,6.422999999999999,52,Family,2009,6.4,1602
1834,46737,tt1227170,0,0,en,2009-10-28,5.6320000000000014,19,Mystery,2009,5.9,910
1835,46737,tt1227170,0,0,en,2009-10-28,5.6320000000000014,19,Thriller,2009,5.9,910
1840,25793,tt0929632,10000000,47536959,en,2009-11-06,7.359,1431,Action,2009,7.3,111840
1842,25793,tt0929632,10000000,47536959,en,2009-11-06,7.359,1431,Family,2009,7.3,111840
1844,49676,tt1486861,0,0,en,2009-11-07,6.029,17,Action,2009,5.3,713
1846,16866,tt0762125,70000000,104945765,en,2009-11-19,5.837999999999999,1776,Drama,2009,6.0,56021
1848,22881,tt0878804,29000000,309208309,en,2009-11-20,7.669,5441,Thriller,2009,7.6,335566
1850,20766,tt0898367,32000000,27635305,en,2009-11-25,6.982,3229,Family,2009,7.2,241472
1852,12404,tt1175506,25000000,2336172,en,2009-11-25,6.348,168,Action,2008,6.7,11504
1853,12404,tt1175506,25000000,2336172,en,2009-11-25,6.348,168,Thriller,2008,6.7,11504
1854,50105,tt1242777,0,0,en,2009-11-27,5.5,8,Drama,2008,6.0,625
1859,50042,tt1156067,4500000,0,en,2009-12-18,6.375,16,Thriller,2009,5.5,1285
1860,50042,tt1156067,4500000,0,en,2009-12-18,6.375,16,Mystery,2009,5.5,1285
1862,23398,tt1231580,75000000,443140005,en,2009-12-21,5.643,2535,Drama,2009,4.5,50246
1864,22897,tt1230414,85000000,219103655,en,2009-12-23,6.517,1213,Drama,2009,6.5,93978
1865,22897,tt1230414,85000000,219103655,en,2009-12-23,6.517,1213,Thriller,2009,6.5,93978
1866,22897,tt1230414,85000000,219103655,en,2009-12-23,6.517,1213,Mystery,2009,6.5,93978
1869,10528,tt0988045,90000000,524028679,en,2009-12-23,7.195,12684,Family,2009,7.6,637866
1870,10528,tt0988045,90000000,524028679,en,2009-12-23,7.195,12684,Mystery,2009,7.6,637866
1874,28118,tt1461418,0,0,en,2009-12-25,7.217,251,Drama,2009,7.5,7117
1875,28118,tt1461418,0,0,en,2009-12-25,7.217,251,Family,2009,7.5,7117
1879,111300,tt1675309,0,0,en,2010-01-01,6.6,5,Crime,2010,6.8,479
1880,111300,tt1675309,0,0,en,2010-01-01,6.6,5,Mystery,2010,6.8,479
1881,111300,tt1675309,0,0,en,2010-01-01,6.6,5,Thriller,2010,6.8,479
1883,53172,tt1220888,12000000,204940,en,2010-01-14,5.774,281,Family,2010,5.9,20656
1885,53172,tt1220888,12000000,204940,en,2010-01-14,5.774,281,Drama,2010,5.9,20656
1887,23172,tt1273678,28000000,66166000,en,2010-01-15,5.85,1110,Drama,2010,5.4,44783
1889,22894,tt1038686,26000000,67918658,en,2010-01-21,5.809,2240,Adventure,2010,5.2,106452
1891,22894,tt1038686,26000000,67918658,en,2010-01-21,5.809,2240,Action,2010,5.2,106452
1895,44835,tt1403177,7000000,449702,en,2010-01-22,6.832999999999998,559,Drama,2010,6.9,52847
1898,32856,tt0817230,52000000,216485654,en,2010-02-10,5.893,2763,Thriller,2010,5.7,120891
1899,7978,tt0780653,150000000,0,en,2010-02-10,5.8260000000000005,1714,Drama,2010,5.8,107923
1903,43754,tt1270296,400,2,en,2010-02-14,5.4,65,Action,2010,5.8,2779
1904,43754,tt1270296,400,2,en,2010-02-14,5.4,65,Adventure,2010,5.8,2779
1905,43754,tt1270296,400,2,en,2010-02-14,5.4,65,Crime,2010,5.8,2779
1906,43754,tt1270296,400,2,en,2010-02-14,5.4,65,Mystery,2010,5.8,2779
1907,43754,tt1270296,400,2,en,2010-02-14,5.4,65,Thriller,2010,5.8,2779
1908,39356,tt1560139,0,9116968,en,2010-02-14,7.374,325,Drama,2010,7.5,27193
1911,11324,tt1130884,80000000,294800000,en,2010-02-14,8.192,21004,Drama,2010,8.2,1317952
1913,11324,tt1130884,80000000,294800000,en,2010-02-14,8.192,21004,Family,2010,8.2,1317952
1915,101520,tt1484114,0,0,en,2010-02-19,7.0,27,Drama,2009,7.5,1539
1917,46197,tt1618421,0,0,en,2010-02-19,6.2189999999999985,16,Action,2010,6.5,995
1918,46197,tt1618421,0,0,en,2010-02-19,6.2189999999999985,16,Drama,2010,6.5,995
1921,46197,tt1618421,0,0,en,2010-02-19,6.2189999999999985,16,Thriller,2010,6.5,995
1923,29427,tt0455407,20000000,54956140,en,2010-02-26,6.214,1743,Adventure,2010,6.5,122684
1926,29427,tt0455407,20000000,54956140,en,2010-02-26,6.214,1743,Family,2010,6.5,122684
1927,23742,tt1385867,30000000,55583804,en,2010-02-26,5.6,1312,Drama,2010,5.5,88735
1928,23742,tt1385867,30000000,55583804,en,2010-02-26,5.6,1312,Thriller,2010,5.5,88735
1929,27004,tt1106860,7000000,46488,en,2010-03-01,5.849,199,Action,2010,5.9,9679
1931,28211,tt1352824,14000000,13657649,en,2010-03-04,6.0470000000000015,1481,Thriller,2009,6.3,74538
1933,149091,tt1615110,0,0,en,2010-03-05,4.188,8,Drama,2010,4.9,329
1936,34016,tt0815236,20000000,49779728,en,2010-03-11,6.402,1792,Family,2010,6.4,138732
1938,22972,tt0947810,100000000,94882889,en,2010-03-11,6.449,1911,Drama,2010,6.8,138444
1942,23483,tt1250777,28000000,96188903,en,2010-03-22,7.114,10518,Drama,2010,7.6,566345
1949,89885,tt2014264,0,0,en,2010-04-01,5.214,7,Drama,2008,4.7,372
1950,89885,tt2014264,0,0,en,2010-04-01,5.214,7,Thriller,2008,4.7,372
1951,49703,tt1673645,1095897,0,en,2010-04-01,7.5,3,Action,2010,6.0,123
1953,73295,tt1356392,0,0,en,2010-04-09,3.0,3,Drama,2011,4.1,270
1954,73295,tt1356392,0,0,en,2010-04-09,3.0,3,Mystery,2011,4.1,270
1955,73295,tt1356392,0,0,en,2010-04-09,3.0,3,Thriller,2011,4.1,270
1956,11403,tt1241329,0,0,en,2010-04-09,5.416,58,Action,2010,5.6,3698
1957,11403,tt1241329,0,0,en,2010-04-09,5.416,58,Adventure,2010,5.6,3698
1958,11403,tt1241329,0,0,en,2010-04-09,5.416,58,Thriller,2010,5.6,3698
1960,43418,tt1418646,7347125,0,en,2010-04-15,6.961,126,Adventure,2010,7.0,8439
1961,43418,tt1418646,7347125,0,en,2010-04-15,6.961,126,Family,2010,7.0,8439
1963,34803,tt1321509,21000000,49050886,en,2010-04-15,5.792000000000002,822,Action,2010,5.7,51050
1965,34803,tt1321509,21000000,49050886,en,2010-04-15,5.792000000000002,822,Adventure,2010,5.7,51050
1967,34813,tt0480255,25000000,23580000,en,2010-04-23,6.2810000000000015,1545,Drama,2010,6.2,103276
1968,34813,tt0480255,25000000,23580000,en,2010-04-23,6.2810000000000015,1545,Family,2010,6.2,103276
1970,41210,tt0889573,19000000,49830607,en,2010-05-11,6.238,1642,Drama,2010,6.1,107364
1973,10192,tt0892791,165000000,752600867,en,2010-05-16,6.317,6282,Drama,2010,6.3,207617
1975,37931,tt1470023,10000000,9322895,en,2010-05-21,5.4529999999999985,464,Action,2010,5.6,45929
1976,37931,tt1470023,10000000,9322895,en,2010-05-21,5.4529999999999985,464,Adventure,2010,5.6,45929
1977,37931,tt1470023,10000000,9322895,en,2010-05-21,5.4529999999999985,464,Drama,2010,5.6,45929
1978,38031,tt1182350,22000000,0,en,2010-05-23,5.905,741,Action,2010,6.3,46142
1983,76421,tt1634300,0,0,en,2010-06-03,5.688,24,Drama,2010,5.2,1175
1985,44629,tt1313092,5000000,1000000,en,2010-06-03,6.79,673,Crime,2010,7.3,58345
1986,44629,tt1313092,5000000,1000000,en,2010-06-03,6.79,673,Drama,2010,7.3,58345
1987,44629,tt1313092,5000000,1000000,en,2010-06-03,6.79,673,Thriller,2010,7.3,58345
1989,38579,tt1392197,50000000,83761844,en,2010-06-04,5.291,647,Thriller,2010,4.3,15951
1992,41215,tt1181791,0,382879,en,2010-06-07,5.954,702,Family,2010,6.4,49041
1993,41215,tt1181791,0,382879,en,2010-06-07,5.954,702,Mystery,2010,6.4,49041
1994,51764,tt1426320,0,5980,en,2010-06-08,5.8,30,Family,2010,5.9,1481
1996,38575,tt1155076,40000000,359126022,en,2010-06-10,6.51,5225,Crime,2010,6.2,187193
1997,38575,tt1155076,40000000,359126022,en,2010-06-10,6.51,5225,Drama,2010,6.2,187193
1998,38575,tt1155076,40000000,359126022,en,2010-06-10,6.51,5225,Thriller,2010,6.2,187193
2000,359218,tt1354022,0,0,en,2010-06-11,4.3,7,Mystery,2010,5.3,435
2001,359218,tt1354022,0,0,en,2010-06-11,4.3,7,Thriller,2010,5.3,435
2002,38199,tt0914863,15000000,0,en,2010-06-14,6.714,999,Thriller,2010,7.0,89185
2005,43933,tt1470827,500000,5639730,en,2010-06-18,6.226,1334,Drama,2010,6.4,93580
2008,20533,tt1075747,47000000,10539000,en,2010-06-18,4.9,1247,Drama,2010,4.7,59670
2009,20533,tt1075747,47000000,10539000,en,2010-06-18,4.9,1247,Thriller,2010,4.7,59670
2012,10196,tt0938283,150000000,319713881,en,2010-06-30,4.655,3473,Drama,2010,4.0,165046
2014,27205,tt1375666,160000000,825532764,en,2010-07-15,8.36,32934,Family,2010,8.8,2354595
2016,27205,tt1375666,160000000,825532764,en,2010-07-15,8.36,32934,Drama,2010,8.8,2354595
2017,55567,tt1303803,0,531826,en,2010-07-16,3.9,15,Drama,2010,3.0,814
2019,39691,tt1287468,85000000,112483764,en,2010-07-28,5.212999999999999,542,Family,2010,4.3,15481
2020,27578,tt1320253,80000000,274470394,en,2010-08-03,6.21,6838,Mystery,2010,6.4,348266
2023,27578,tt1320253,80000000,274470394,en,2010-08-03,6.21,6838,Adventure,2010,6.4,348266
2026,41233,tt1193631,30000000,159291809,en,2010-08-04,6.825,1729,Action,2010,6.1,58655
2027,43949,tt0817177,14000000,1755212,en,2010-08-06,7.975,2442,Drama,2010,7.7,91411
2030,38167,tt0879870,60000000,204594016,en,2010-08-12,6.225,2118,Mystery,2010,5.8,98881
2031,38167,tt0879870,60000000,204594016,en,2010-08-12,6.225,2118,Thriller,2010,5.8,98881
2033,22538,tt0446029,85000000,48000000,en,2010-08-12,7.5,6717,Drama,2010,7.5,429442
2034,43593,tt0464154,24000000,83188165,en,2010-08-20,5.397,1871,Drama,2010,5.5,92550
2037,43919,tt1270835,2500000,156190,en,2010-08-26,5.507999999999999,314,Drama,2010,5.4,14132
2038,43919,tt1270835,2500000,156190,en,2010-08-26,5.507999999999999,314,Thriller,2010,5.4,14132
2046,49018,tt1591095,1500000,97009150,en,2010-09-13,6.938,5830,Drama,2010,6.8,312109
2047,23168,tt0840361,37000000,154026136,en,2010-09-15,7.192,4310,Drama,2010,7.5,393871
2050,44040,tt1314655,10000000,33583175,en,2010-09-16,6.046,2515,Drama,2010,6.3,148492
2052,153436,tt1664010,0,0,en,2010-09-18,6.438,16,Crime,2010,5.5,654
2053,153436,tt1664010,0,0,en,2010-09-18,6.438,16,Drama,2010,5.5,654
2054,153436,tt1664010,0,0,en,2010-09-18,6.438,16,Action,2010,5.5,654
2055,153436,tt1664010,0,0,en,2010-09-18,6.438,16,Thriller,2010,5.5,654
2058,59206,tt1714861,0,0,en,2010-09-25,7.5,15,Action,2010,7.7,662
2059,59206,tt1714861,0,0,en,2010-09-25,7.5,15,Family,2010,7.7,662
2061,45162,tt1673430,3500000,0,en,2010-09-28,7.206,584,Family,2010,7.0,27354
2065,52015,tt1464580,650000,33245,en,2010-09-30,6.2,655,Drama,2010,6.4,43007
2068,48289,tt1226753,20000000,45636368,en,2010-09-30,6.551,741,Action,2010,6.8,70195
2069,48289,tt1226753,20000000,45636368,en,2010-09-30,6.551,741,Drama,2010,6.8,70195
2072,37799,tt1285016,40000000,224920315,en,2010-10-01,7.341,10545,Drama,2010,7.8,706895
2074,38408,tt1055292,38000000,105734416,en,2010-10-02,6.907,2843,Family,2010,6.5,133692
2076,37821,tt1103153,75000000,98159963,en,2010-10-04,5.968,1931,Drama,2010,5.4,92756
2078,58496,tt1424432,0,8212430,en,2010-10-07,8.113,830,Family,2010,8.5,71686
