tmdb_id,imdb_id,original_language,original_title,genres,release_date,video,adult,popularity,tmdb_rating_avg,tmdb_vote_count,providers,netflix_provider,stan_provider,amazon_provider,imdb_rating,imdb_votes,iso_country,country_name,budget,revenue,runtime
724717,tt11697484,en,The 2nd,"Action,Drama",14/12/2020,False,False,8.88,5.6,102,Netflix,Yes,No,No,3.8,8953,US,United States of America,0,0,93
776236,tt3145630,en,Phobic,"Mystery,Thriller",15/12/2020,False,False,2.61,0.0,0,Amazon Prime Video,No,No,Yes,3.2,106,US,United States of America,0,0,82
651571,tt9820556,en,Breach,"Action,Horror,Sci-Fi",17/12/2020,False,False,32.506,4.3,555,Amazon Prime Video,No,No,Yes,2.9,18498,CA,Canada,0,39328,92
922158,tt16516132,en,"The Witcher Bestiary Season 1, Part 2",Documentary,18/12/2020,False,False,5.316,5.7,13,Netflix,Yes,No,No,6.7,44,US,United States of America,0,0,10
862280,tt13809646,en,Nneka the Pretty Serpent,"Horror,Mystery",18/12/2020,False,False,2.169,4.4,8,Netflix,Yes,No,No,4.0,138,NG,Nigeria,0,0,141
776047,tt9242768,en,Angie: Lost Girls,"Action,Crime,Drama",18/12/2020,False,False,4.185,5.6,11,Amazon Prime Video,No,No,Yes,5.3,460,US,United States of America,0,0,97
549514,tt8829830,en,Fatale,Thriller,18/12/2020,False,False,15.236,6.1,249,Netflix,Yes,No,No,5.4,11400,US,United States of America,0,0,102
286539,tt2075078,en,Chasing the Rain,Drama,18/12/2020,False,False,1.876,6.3,3,Amazon Prime Video,No,No,Yes,4.7,260,US,United States of America,0,0,116
746480,tt13342238,en,Project Christmas Wish,"Drama,Family,Romance",20/12/2020,False,False,5.348,7.2,27,Amazon Prime Video,No,No,Yes,6.9,1270,CA,Canada,0,0,84
774372,tt13615386,en,"ariana grande: excuse me, i love you","Documentary,Music",21/12/2020,False,False,15.454,8.3,315,Netflix,Yes,No,No,6.3,2709,US,United States of America,0,0,97
744945,tt13189798,en,Spotlight on Christmas,"Drama,Romance",21/12/2020,False,False,6.223,6.0,16,Stan,No,Yes,No,6.1,803,CA,Canada,0,0,80
774885,tt13528526,en,London Hughes: To Catch A D*ck,Comedy,22/12/2020,False,False,3.721,6.6,7,Netflix,Yes,No,No,4.7,335,US,United States of America,0,0,60
661914,tt10612922,en,One Night in Miami...,Drama,25/12/2020,False,False,13.12,7.1,553,Amazon Prime Video,No,No,Yes,7.1,32509,US,United States of America,0,0,114
653746,tt11382384,en,The Dissident,"Crime,Documentary,Thriller",25/12/2020,False,False,9.668,7.4,74,Stan,No,Yes,No,7.8,29995,TR,Turkey,0,57000,119
615677,tt10600398,en,We Can Be Heroes,"Action,Comedy,Drama",25/12/2020,False,False,42.521,6.2,646,Netflix,Yes,No,No,4.7,15281,US,United States of America,0,0,97
581032,tt6878306,en,News of the World,"Action,Adventure,Drama",25/12/2020,False,False,14.875,7.0,1466,Netflix,Yes,No,No,6.8,88168,US,United States of America,0,12668325,118
773655,tt13567480,en,Death to 2020,Comedy,27/12/2020,False,False,14.543,6.5,599,Netflix,Yes,No,No,6.8,39044,GB,United Kingdom,0,0,71
776979,tt13322484,en,Cops and Robbers,"Animation,Drama,Short",28/12/2020,False,False,2.774,7.0,37,Netflix,Yes,No,No,6.8,756,US,United States of America,0,0,8
902873,tt17516652,en,Nyara: The Kidnapping,"Action,Crime,Mystery",29/12/2020,False,False,1.572,2.0,1,Netflix,Yes,No,No,7.3,12,TZ,Tanzania,150,0,75
641662,tt11161474,en,Pieces of a Woman,Drama,30/12/2020,False,False,17.521,7.1,1028,Netflix,Yes,No,No,7.0,50867,CA,Canada,0,0,127
781425,tt13649688,en,Best of Stand-up 2020,Comedy,31/12/2020,False,False,4.012,6.0,14,Netflix,Yes,No,No,5.5,663,US,United States of America,0,0,76
846507,tt15149712,en,D.O.D.: Day of Destiny,"Adventure,Drama,Sci-Fi",1/01/2021,False,False,2.577,2.0,1,Netflix,Yes,No,No,5.3,48,NG,Nigeria,0,0,110
781801,tt12381962,en,Steve McQueen: The Lost Movie,"Biography,Documentary,Sport",1/01/2021,False,False,3.007,7.4,5,Stan,No,Yes,No,6.6,189,GB,United Kingdom,0,0,87
774054,tt13583144,en,The Minimalists: Less Is Now,Documentary,1/01/2021,False,False,8.968,6.4,104,Netflix,Yes,No,No,5.9,4437,US,United States of America,84919,0,53
782973,tt13696668,en,Tony Parker: The Final Shot,"Biography,Documentary,Sport",6/01/2021,False,False,7.693,7.2,56,Netflix,Yes,No,No,6.7,1479,FR,France,0,0,98
767979,tt10712928,en,Stars Fell on Alabama,"Comedy,Drama,Romance",6/01/2021,False,False,4.798,6.2,13,Amazon Prime Video,No,No,Yes,5.5,1107,US,United States of America,0,0,103
835624,tt13688748,en,Is Mindfulness Right for You?,Documentary,8/01/2021,False,False,3.72,0.0,0,Amazon Prime Video,No,No,Yes,6.4,62,US,United States of America,0,0,81
765684,tt13779166,en,Octonauts: The Ring of Fire,Animation,8/01/2021,False,False,5.939,6.0,6,Netflix,Yes,No,No,6.5,152,CN,China,0,0,72
